"t","T","alpha","beta","dbeta_dt","dalpha_dt","sign_beta"
20700,36.35,0.95413,0.00319999999999993,-3.9999999999992e-06,-3.04000000000015e-05,1
20750,36.51,0.95261,0.00299999999999997,2.84494650060196e-18,-3.09999999999988e-05,1
20800,36.66,0.95106,0.00300000000000011,-2.84494650060196e-18,-3.16000000000005e-05,1
20850,36.81,0.94948,0.00299999999999997,0,-3.23999999999991e-05,1
20900,36.96,0.94786,0.00299999999999997,0,-3.30000000000008e-05,1
20950,37.11,0.94621,0.00299999999999997,0,-3.36000000000003e-05,1
21000,37.26,0.94453,0.00299999999999997,4.00000000000205e-06,-3.43999999999989e-05,1
21050,37.41,0.94281,0.00320000000000007,-4.00000000000205e-06,-3.50000000000006e-05,1
21100,37.57,0.94106,0.00299999999999997,0,-3.56000000000001e-05,1
21150,37.72,0.93928,0.00299999999999997,2.84494650060196e-18,-3.64000000000009e-05,1
21200,37.87,0.93746,0.00300000000000011,-2.84494650060196e-18,-3.67999999999991e-05,1
21250,38.02,0.93562,0.00299999999999997,0,-3.74000000000008e-05,1
21300,38.17,0.93375,0.00299999999999997,0,-3.81999999999993e-05,1
21350,38.32,0.93184,0.00299999999999997,0,-3.88000000000011e-05,1
21400,38.47,0.9299,0.00299999999999997,2.84494650060196e-18,-3.93999999999983e-05,1
21450,38.62,0.92793,0.00300000000000011,-2.84494650060196e-18,-4e-05,1
21500,38.77,0.92593,0.00299999999999997,0,-4.08000000000008e-05,1
21550,38.92,0.92389,0.00299999999999997,0,-4.14000000000003e-05,1
21600,39.07,0.92182,0.00299999999999997,0,-4.19999999999998e-05,1
21650,39.22,0.91972,0.00299999999999997,2.84494650060196e-18,-4.28000000000006e-05,1
21700,39.37,0.91758,0.00300000000000011,-2.84494650060196e-18,-4.34000000000001e-05,1
21750,39.52,0.91541,0.00299999999999997,0,-4.41999999999987e-05,1
21800,39.67,0.9132,0.00299999999999997,0,-4.48000000000004e-05,1
21850,39.82,0.91096,0.00299999999999997,0,-4.53999999999999e-05,1
21900,39.97,0.90869,0.00299999999999997,2.84494650060196e-18,-4.62000000000007e-05,1
21950,40.12,0.90638,0.00300000000000011,3.99999999999636e-06,-4.65999999999989e-05,1
22000,40.27,0.90405,0.00319999999999993,-3.9999999999992e-06,-4.73999999999997e-05,1
22050,40.43,0.90168,0.00299999999999997,0,-4.7600000000001e-05,1
22100,40.58,0.8993,0.00299999999999997,2.84494650060196e-18,-4.79999999999992e-05,1
22150,40.73,0.8969,0.00300000000000011,-2.84494650060196e-18,-5.00000000000012e-05,1
22200,40.88,0.8944,0.00299999999999997,3.9999999999992e-06,-4.99999999999989e-05,1
22250,41.03,0.8919,0.00319999999999993,-3.99999999999636e-06,-5.00000000000012e-05,1
22300,41.19,0.8894,0.00300000000000011,-2.84494650060196e-18,-5.19999999999987e-05,1
22350,41.34,0.8868,0.00299999999999997,0,-5.20000000000009e-05,1
22400,41.49,0.8842,0.00299999999999997,3.9999999999992e-06,-5.19999999999987e-05,1
22450,41.64,0.8816,0.00319999999999993,-3.99999999999636e-06,-5.20000000000009e-05,1
22500,41.8,0.879,0.00300000000000011,-2.84494650060196e-18,-5.40000000000007e-05,1
22550,41.95,0.8763,0.00299999999999997,3.9999999999992e-06,-5.39999999999985e-05,1
22600,42.1,0.8736,0.00319999999999993,-3.9999999999992e-06,-5.40000000000007e-05,1
22650,42.26,0.8709,0.00299999999999997,2.84494650060196e-18,-5.40000000000007e-05,1
22700,42.41,0.8682,0.00300000000000011,3.99999999999636e-06,-5.60000000000005e-05,1
22750,42.56,0.8654,0.00319999999999993,-3.9999999999992e-06,-5.59999999999983e-05,1
22800,42.72,0.8626,0.00299999999999997,2.84494650060196e-18,-5.60000000000005e-05,1
22850,42.87,0.8598,0.00300000000000011,3.99999999999636e-06,-5.80000000000003e-05,1
22900,43.02,0.8569,0.00319999999999993,-3.9999999999992e-06,-5.80000000000003e-05,1
22950,43.18,0.854,0.00299999999999997,4.00000000000205e-06,-5.80000000000003e-05,1
23000,43.33,0.8511,0.00320000000000007,-4.00000000000205e-06,-5.80000000000003e-05,1
23050,43.49,0.8482,0.00299999999999997,0,-5.79999999999981e-05,1
23100,43.64,0.8453,0.00299999999999997,4.00000000000205e-06,-6.00000000000001e-05,1
23150,43.79,0.8423,0.00320000000000007,-4.00000000000205e-06,-6.00000000000001e-05,1
23200,43.95,0.8393,0.00299999999999997,3.9999999999992e-06,-6.00000000000001e-05,1
23250,44.1,0.8363,0.00319999999999993,2.84494650060196e-18,-6.19999999999998e-05,1
23300,44.26,0.8332,0.00320000000000007,-4.00000000000205e-06,-6.2000000000002e-05,1
23350,44.42,0.8301,0.00299999999999997,3.9999999999992e-06,-6.19999999999998e-05,1
23400,44.57,0.827,0.00319999999999993,-3.99999999999636e-06,-6.19999999999998e-05,1
23450,44.73,0.8239,0.00300000000000011,3.99999999999636e-06,-6.39999999999996e-05,1
23500,44.88,0.8207,0.00319999999999993,2.84494650060196e-18,-6.39999999999996e-05,1
23550,45.04,0.8175,0.00320000000000007,-2.84494650060196e-18,-6.39999999999996e-05,1
23600,45.2,0.8143,0.00319999999999993,2.84494650060196e-18,-6.59999999999994e-05,1
23650,45.36,0.811,0.00320000000000007,-2.84494650060196e-18,-6.40000000000018e-05,1
23700,45.52,0.8078,0.00319999999999993,4.00000000000205e-06,-6.59999999999994e-05,1
23750,45.68,0.8045,0.00340000000000003,-4.00000000000205e-06,-6.59999999999994e-05,1
23800,45.85,0.8012,0.00319999999999993,4.00000000000205e-06,-6.59999999999994e-05,1
23850,46.01,0.7979,0.00340000000000003,0,-6.60000000000016e-05,1
23900,46.18,0.7946,0.00340000000000003,0,-6.39999999999996e-05,1
23950,46.35,0.7914,0.00340000000000003,-2.84494650060196e-18,-6.59999999999994e-05,1
24000,46.52,0.7881,0.00339999999999989,4.00000000000205e-06,-6.39999999999996e-05,1
24050,46.69,0.7849,0.00359999999999999,-3.9999999999992e-06,-6.40000000000018e-05,1
24100,46.87,0.7817,0.00340000000000003,3.9999999999992e-06,-6.39999999999996e-05,1
24150,47.04,0.7785,0.00359999999999999,0,-6.39999999999996e-05,1
24200,47.22,0.7753,0.00359999999999999,0,-6.19999999999998e-05,1
24250,47.4,0.7722,0.00359999999999999,0,-6.19999999999998e-05,1
24300,47.58,0.7691,0.00359999999999999,0,-6.19999999999998e-05,1
24350,47.76,0.766,0.00359999999999999,-3.9999999999992e-06,-6.00000000000001e-05,1
24400,47.94,0.763,0.00340000000000003,3.9999999999992e-06,-6.19999999999998e-05,1
24450,48.11,0.7599,0.00359999999999999,0,-6.00000000000001e-05,1
24500,48.29,0.7569,0.00359999999999999,-3.9999999999992e-06,-6.00000000000001e-05,1
24550,48.47,0.7539,0.00340000000000003,0,-6.19999999999998e-05,1
